label,message
ham,Remember we have that dentist appointment tomorrow at 2pm. zpxuwc
ham,"No worries, take your time. I'll be here. i njryw"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 send to 87575. Cost: £7155p/msg."
spam,You have an important message waiting. Call 9743244243 now. Calls cost £2023p/min.
ham,Did you get my email? Let me know when you can talk. yhtbxdqucpf
ham,"Hey, are you free this evening? We could grab dinner. wcb dy gr rewfkgmla"
ham,Remember we have that dentist appointment tomorrow at 2pm. zxquxjjy
spam,Naughty text messages! Txt CHAT to 8422277848 £8885/msg 2 stop txt STOP.
spam,FREE entry to win FA Cup final tkts. Text FA to 87121. Cost £625p/msg.
ham,"Hey, are you free this evening? We could grab dinner. otaxyvfrbzayhw wkr"
spam,You have an important message waiting. Call 8315144891 now. Calls cost £4086p/min.
ham,Remember we have that dentist appointment tomorrow at 2pm. m lhiwz
ham,Meeting has been moved to 3pm. See you there. gvuhqsxxfzrz
ham,Can we reschedule our call to tomorrow morning? lnmbysvnz pgbjkg
ham,Did you see the game last night? What a match! ttge
ham,Did you get my email? Let me know when you can talk. sznbhxsmqahx rzuwbm
spam,CASH PRIZE: Draw shows you have won a top prize of £6367. To collect call 9661635754.
ham,The package has been delivered to your door.
ham,"Hey, are you free this evening? We could grab dinner. skosdks uyejffw"
ham,"Hey, are you free this evening? We could grab dinner. h"
ham,"Just checking in, how are you feeling today? lfeargun klarps"
ham,The kids are asking about the weekend trip. You in? smfo
ham,Are you coming to the party tonight? It starts at 8. t
spam,IMPORTANT: Your account will be suspended. Verify now or lose access permanently at http://bit.ly/5404
ham,Remember we have that dentist appointment tomorrow at 2pm. gnjajtyuxyqdsta x
spam,URGENT! Your Mobile number has been awarded a £2318 Bonus Caller Prize. Call 9755328890 now.
spam,Hot singles in your area! Text MEET to 7461696451. Msgs cost £233 ea. Stop: STOP.
spam,WINNER!! You have been selected to win a cash prize of £5872 CALL NOW 9345111169
ham,Lunch at the usual place? 12:30 works for me. swccwigmauvwkc
ham,"No worries, take your time. I'll be here."
ham,Can we reschedule our call to tomorrow morning? eeqgyhsgcnyruabbfky
ham,Did you get my email? Let me know when you can talk. w
spam,You have won a Nokia 6610. Call 7569902893 now to claim. Send STOP to 87239 to end.
spam,Congratulations! Your mobile has won £1064 prize. Call 7983297492 to claim. Send STOP to opt out.
ham,"Running 10 mins late, sorry! Almost there. b pu uctzrdbkl"
spam,URGENT! Your Mobile number has been awarded a £8122 Bonus Caller Prize. Call 8240535933 now.
ham,"Hey, are you free this evening? We could grab dinner. w nsgdcwzccxirojgnu"
spam,Hot singles in your area! Text MEET to 9459788151. Msgs cost £1954 ea. Stop: STOP.
ham,"Just got out of the meeting, calling you in 5. nltucgpqhr ptbtjlg"
ham,"Hey, are you free this evening? We could grab dinner. llxslznujvywplguycqo"
spam,IMPORTANT: Your account will be suspended. Verify now or lose access permanently at http://bit.ly/6666
ham,"Just checking in, how are you feeling today? tgtf"
ham,"Hey, are you free this evening? We could grab dinner. nctxk f"
